subjects,mean d,median d,max d
S09-CBS,2.139753086419753,2.04,5.19
S11-SBC,1.9007407407407408,1.93,3.6
S28-CSB,2.5514814814814817,2.49,5.45
S15-SBC,2.200987654320988,1.99,5.27
S20-SCB,2.4,2.31,5.8
S01-BSC,2.3033333333333332,2.27,5.16
S19-BCS,2.1674074074074072,2.11,6.12
S17-CSB,2.0197530864197533,1.89,4.71
S13-SCB,1.839753086419753,1.8,4.52
S24-SCB,2.2111111111111112,2.14,5.69
S18b-SBC,2.2507407407407407,2.05,4.54
S07-BCS,2.0480246913580245,2.03,4.42
S20b-SCB,2.1904938271604935,2.02,4.46
S08-CSB,2.0485185185185184,1.73,5.12
S16-BSC,2.6590123456790127,2.49,6.09
S21-CBS,2.5445679012345677,2.74,4.74
S04-SCB,2.7676543209876545,2.82,5.62
S12-CBS,2.682962962962963,2.72,5.36
S23-SBC,2.806296296296296,2.49,6.42
S10-BCS,2.3990123456790124,2.26,5.33
S08-BSC,2.612407407407407,2.455,5.74
S33-CBS,2.1276249999999997,2.1900000000000004,4.73
S12-SCB,2.4135802469135808,2.54,5.29
S18-SBC,1.9961728395061729,1.68,5.28
S16-CSB,1.9858024691358027,1.71,5.16
S27-CBS,2.496666666666667,2.52,5.19
S06-CSB,1.9053086419753087,1.94,3.55
S31-CSB,1.9558024691358027,1.87,3.45
S14-CBS,2.048641975308642,1.73,5.37
S02-CSB,2.015925925925926,1.89,5.03
S21b-CBS,1.9549382716049382,1.83,4.44
S23-SCB,1.844567901234568,1.66,4.2
S29-SBC,2.037283950617284,2.13,4.67
S10-CSB,1.6880246913580246,1.54,3.94
S25-BCS,2.402716049382716,2.26,6.25
S07-BSC,2.0708641975308644,1.91,5.09
S22-CSB,2.2496296296296294,2.23,4.65
S03-CBS,2.129135802469136,1.89,5.52
S03-BSC,2.2966666666666664,2.27,6.05
S17-BCS,2.6185185185185182,2.43,5.76
S11b-SBC,1.8871604938271602,1.82,4.67
S13-BCS,2.3487654320987654,2.07,4.77
S15-CBS,1.845679012345679,1.82,4.07
S30-SCB,2.2,2.17,4.02
S26-BSC,1.4590123456790123,1.26,3.96
S05-BCS,2.135432098765432,1.92,5.98
S19-CBS,2.291358024691358,2.33,4.67
S01-BCS,2.080864197530864,2.05,4.77
